time,open,high,low,close,tick_volume,spread,real_volume
2025-08-07 04:25:00,114678.15,114678.59,114650.67,114666.69,424,980,0
2025-08-07 04:26:00,114666.49,114667.64,114651.42,114662.0,429,980,0
2025-08-07 04:27:00,114662.06,114664.34,114646.52,114652.68,439,980,0
2025-08-07 04:28:00,114652.87,114656.27,114644.18,114645.86,450,980,0
2025-08-07 04:29:00,114646.13,114650.09,114627.88,114635.14,413,980,0
2025-08-07 04:30:00,114635.12,114635.49,114606.27,114619.97,423,980,0
2025-08-07 04:31:00,114619.41,114620.89,114609.78,114619.3,410,980,0
2025-08-07 04:32:00,114619.24,114650.96,114579.85,114585.63,402,980,0
2025-08-07 04:33:00,114585.49,114596.42,114564.63,114580.0,400,980,0
2025-08-07 04:34:00,114580.46,114580.46,114533.84,114548.54,372,980,0
2025-08-07 04:35:00,114548.4,114551.4,114506.34,114513.91,385,980,0
2025-08-07 04:36:00,114513.92,114514.64,114491.19,114498.21,387,980,0
2025-08-07 04:37:00,114498.69,114499.21,114485.65,114488.77,385,980,0
2025-08-07 04:38:00,114488.13,114561.2,114485.57,114557.2,330,980,0
2025-08-07 04:39:00,114557.25,114557.25,114528.58,114529.1,351,980,0
2025-08-07 04:40:00,114528.5,114547.33,114518.2,114525.27,343,980,0
2025-08-07 04:41:00,114525.68,114527.07,114513.65,114519.57,371,980,0
2025-08-07 04:42:00,114520.82,114540.24,114510.75,114519.73,329,980,0
2025-08-07 04:43:00,114519.62,114540.36,114516.27,114534.48,334,980,0
2025-08-07 04:44:00,114534.04,114535.4,114523.33,114530.81,333,980,0
2025-08-07 04:45:00,114530.52,114531.01,114482.72,114493.09,387,980,0
2025-08-07 04:46:00,114492.57,114498.5,114486.39,114494.33,372,980,0
2025-08-07 04:47:00,114494.33,114526.5,114494.33,114508.91,326,980,0
2025-08-07 04:48:00,114508.93,114509.97,114505.49,114507.8,381,980,0
2025-08-07 04:49:00,114507.71,114509.68,114466.68,114466.68,360,980,0
2025-08-07 04:50:00,114466.68,114469.62,114384.09,114397.27,412,980,0
2025-08-07 04:51:00,114397.53,114433.7,114369.97,114407.09,375,980,0
2025-08-07 04:52:00,114407.02,114407.25,114353.48,114367.4,370,980,0
2025-08-07 04:53:00,114367.67,114395.08,114357.85,114388.54,363,980,0
2025-08-07 04:54:00,114388.97,114416.11,114361.62,114364.25,351,980,0
2025-08-07 04:55:00,114364.33,114367.56,114331.87,114340.4,392,980,0
2025-08-07 04:56:00,114341.2,114383.03,114335.58,114379.47,356,980,0
2025-08-07 04:57:00,114379.56,114408.52,114378.1,114402.1,365,980,0
2025-08-07 04:58:00,114402.27,114462.34,114396.52,114448.79,410,980,0
2025-08-07 04:59:00,114448.29,114464.25,114417.35,114431.47,347,980,0
2025-08-07 05:00:00,114432.39,114432.39,114390.7,114394.2,395,980,0
2025-08-07 05:01:00,114394.19,114418.06,114393.93,114395.84,370,980,0
2025-08-07 05:02:00,114396.18,114422.67,114381.13,114390.83,328,980,0
2025-08-07 05:03:00,114391.06,114391.75,114369.04,114379.06,330,980,0
2025-08-07 05:04:00,114379.33,114412.85,114369.83,114410.54,346,980,0
2025-08-07 05:05:00,114409.74,114432.87,114386.65,114386.8,322,980,0
2025-08-07 05:06:00,114386.8,114418.28,114374.84,114376.34,346,980,0
2025-08-07 05:07:00,114377.35,114401.88,114363.98,114364.59,369,980,0
2025-08-07 05:08:00,114363.98,114372.59,114359.65,114368.33,369,980,0
2025-08-07 05:09:00,114367.64,114391.81,114337.05,114389.26,359,980,0
